codigo_producto,marca,modelo,color,ram,capacidad,imei1,imei2,sucursal,estatus_final,motivo
TEL-HON-X7B-128GB-8R-PTA,HONOR,X7B,PLATA,8RAM,128GB,862606069218940,862606069218957,"MiPlan Almacen",Insertada,OK
TEL-LOG-L66M-128GB-8R-NGO,LOGIC,L66M,NEGRO,8RAM,128GB,352797810220579,352797810220587,"MiPlan Almacen",Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-ROS",MOTOROLA,"EDGE 50 FUSION",ROSA,8RAM,256GB,359882253067837,,"MiPlan Almacen",Insertada,OK
"TEL-TEC-SPK 30C-256GB-8R-NGO",TECNO,"SPARK 30C",NEGRO,8RAM,256GB,352942302259186,352942309081492,"MiPlan Almacen",Insertada,OK
TEL-XIA-RMI-A5-128GB-4R-AZ,XIAOMI,"REDMI A5",AZUL,4RAM,128GB,860292078551365,860292078551373,"MiPlan Almacen",Insertada,OK
TEL-XIA-RMI-A5-128GB-4R-NGO,XIAOMI,"REDMI A5",NEGRO,4RAM,128GB,860292078951789,860292078951797,"MiPlan Almacen",Insertada,OK
TEL-XIA-RMI-A5-128GB-4R-NGO,XIAOMI,"REDMI A5",NEGRO,4RAM,128GB,860292079008845,860292079008852,"MiPlan Almacen",Insertada,OK
TEL-MOT-G24-128GB-4R-GR,MOTOROLA,G24,GRIS,4RAM,128GB,354102941522605,354102941589604,"MiPlan Almacen",Insertada,OK
TEL-MOT-G24-128GB-4R-GR,MOTOROLA,G24,GRIS,4RAM,128GB,354102941477933,354102941507937,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI 13C-128GB-4R-NGO",XIAOMI,"REDMI 13C",NEGRO,4RAM,128GB,866215077651021,866215077651039,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A05-128GB-4R-VER",SAMSUNG,"GALAXY A05",VERDE,4RAM,128GB,358251524037220,359715694037227,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-AZ",SAMSUNG,"GALAXY A06",AZUL,4RAM,128GB,359706684768558,,"MiPlan Almacen",Insertada,OK
"TEL-HON-200 LITE-256GB-8R-NGO",HONOR,"200 LITE",NEGRO,8RAM,256GB,864616063519084,864616063531592,"MiPlan Almacen",Insertada,OK
TEL-HON-X8B-256GB-8R-AQU,HONOR,X8B,AQUAMARINA,8RAM,256GB,868557073828758,868557073843765,"MiPlan Almacen",Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-AZ",MOTOROLA,"EDGE 50 FUSION",AZUL,8RAM,256GB,359882253067472,,"MiPlan Almacen",Insertada,OK
TEL-MOT-G24-128GB-4R-GR,MOTOROLA,G24,GRIS,4RAM,128GB,357674248255870,357674248282874,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI NOTE 14-128GB-6R-AZ",XIAOMI,"REDMI NOTE 14",AZUL,6RAM,128GB,862844078102884,862844078102892,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI NOTE 14-128GB-6R-AZ",XIAOMI,"REDMI NOTE 14",AZUL,6RAM,128GB,862844078167648,862844078167655,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-GR",SAMSUNG,"GALAXY A06",GRIS,4RAM,128GB,350437734562135,350933494562133,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-AZ",SAMSUNG,"GALAXY A06",AZUL,4RAM,128GB,350437738374297,350437738374295,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A16-128GB-4R-NGO",SAMSUNG,"GALAXY A16",NEGRO,4RAM,128GB,352042193886054,356542823886057,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A16-128GB-4R-NGO",SAMSUNG,"GALAXY A16",NEGRO,4RAM,128GB,352042193862691,356542823862694,"MiPlan Almacen",Insertada,OK
"TEL-TEC-SPK 30C-256GB-8R-NGO",TECNO,"SPARK 30C",NEGRO,8RAM,256GB,352942302267221,352942308483046,"MiPlan Almacen",Insertada,OK
"TEL-TEC-SPK 30C-256GB-8R-BCO",TECNO,"SPARK 30C",BLANCO,8RAM,256GB,352942302125841,352942308489530,"MiPlan Almacen",Insertada,OK
"TEL-TEC-SPK 30C-256GB-8R-VER",TECNO,"SPARK 30C",VERDE,8RAM,256GB,352942302249583,352942306300515,"MiPlan Almacen",Insertada,OK
TEL-XIA-RMI-A5-128GB-4R-AZ,XIAOMI,"REDMI A5",AZUL,4RAM,128GB,860292078453240,860292078453257,"MiPlan Almacen",Insertada,OK
TEL-XIA-RMI-A5-128GB-4R-AZ,XIAOMI,"REDMI A5",AZUL,4RAM,128GB,865164070873722,865164070873780,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI 14C-128GB-4R-VER",XIAOMI,"REDMI 14C",VERDE,4RAM,128GB,863537071618943,863537071618950,"MiPlan Almacen",Insertada,OK
"TEL-HON-200 LITE-256GB-8R-NGO",HONOR,"200 LITE",NEGRO,8RAM,256GB,864616060912498,864616060912498,"MiPlan Almacen",Insertada,OK
"TEL-HON-200 LITE-256GB-8R-NGO",HONOR,"200 LITE",NEGRO,8RAM,256GB,864616060912167,864616060935572,"MiPlan Almacen",Insertada,OK
"TEL-HON-PLAY 9A-64GB-4R-AZ",HONOR,"PLAY 9A",AZUL,4RAM,64GB,862703070758236,862703071058230,"MiPlan Almacen",Insertada,OK
"TEL-HON-PLAY 9A-64GB-4R-MOR",HONOR,"PLAY 9A",MORADO,4RAM,64GB,862703070727843,862703071027847,"MiPlan Almacen",Insertada,OK
TEL-HON-X7B-128GB-8R-VER,HONOR,X7B,VERDE,8RAM,128GB,862606069408822,862606069408830,"MiPlan Almacen",Insertada,OK
TEL-HON-X8B-256GB-8R-AQU,HONOR,X8B,AQUAMARINA,8RAM,256GB,868557075293506,868557075319251,"MiPlan Almacen",Insertada,OK
TEL-HON-X8B-256GB-8R-PTA,HONOR,X8B,PLATA,8RAM,256GB,868557073828204,868557073843211,"MiPlan Almacen",Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-VER",MOTOROLA,"EDGE 50 FUSION",VERDE,8RAM,256GB,354612455993950,354612455993968,"MiPlan Almacen",Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-VER",MOTOROLA,"EDGE 50 FUSION",VERDE,8RAM,256GB,354612455962658,354612455962666,"MiPlan Almacen",Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-ROS",MOTOROLA,"EDGE 50 FUSION",ROSA,8RAM,256GB,359882252996903,,"MiPlan Almacen",Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-ROS",MOTOROLA,"EDGE 50 FUSION",ROSA,8RAM,256GB,359882253042731,,"MiPlan Almacen",Insertada,OK
"TEL-MOT-G84 5G-256GB-8R-CEL",MOTOROLA,"G84 5G",CELESTE,8RAM,256GB,344269650951438,,"MiPlan Almacen",Insertada,OK
"TEL-MOT-G24 PW-256GB-8R-CEL",MOTOROLA,"G24 POWER",CELESTE,8RAM,256GB,355913386675107,355913386700004,"MiPlan Almacen",Insertada,OK
"TEL-MOT-G24 PW-256GB-8R-CEL",MOTOROLA,"G24 POWER",CELESTE,8RAM,256GB,355913386668664,355913386693563,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI NOTE 14-128GB-6R-AZ",XIAOMI,"REDMI NOTE 14",AZUL,6RAM,128GB,862844078104948,862844078104955,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-AZ",SAMSUNG,"GALAXY A06",AZUL,4RAM,128GB,350437738238518,350437738238516,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A16-128GB-4R-NGO",SAMSUNG,"GALAXY A16",NEGRO,4RAM,128GB,352042193862667,356542823862660,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A16-128GB-4R-VER",SAMSUNG,"GALAXY A16",VERDE,4RAM,128GB,352042193481443,356542823481446,"MiPlan Almacen",Insertada,OK
TEL-XIA-RMI-A5-128GB-4R-NGO,XIAOMI,"REDMI A5",NEGRO,4RAM,128GB,860292078787860,860292078787878,"MiPlan Almacen",Insertada,OK
TEL-XIA-RMI-A5-128GB-4R-NGO,XIAOMI,"REDMI A5",NEGRO,4RAM,128GB,860292078999523,860292078999531,"MiPlan Almacen",Insertada,OK
"TEL-HON-200 LITE-256GB-8R-CIA",HONOR,"200 LITE",CIAN,8RAM,256GB,864616063990749,,"MiPlan Almacen",Insertada,OK
"TEL-HON-200 LITE-256GB-8R-CIA",HONOR,"200 LITE",CIAN,8RAM,256GB,864616063523383,,"MiPlan Almacen",Insertada,OK
"TEL-HON-200 LITE-256GB-8R-NGO",HONOR,"200 LITE",NEGRO,8RAM,256GB,864616063520611,864616063533127,"MiPlan Almacen",Insertada,OK
"TEL-HON-200 LITE-256GB-8R-AZ",HONOR,"200 LITE",AZUL,8RAM,256GB,864616063541435,864616063561441,"MiPlan Almacen",Insertada,OK
"TEL-HON-PLAY 9A-64GB-4R-AZ",HONOR,"PLAY 9A",AZUL,4RAM,64GB,862703070767344,862703071067348,"MiPlan Almacen",Insertada,OK
TEL-LOG-L66M-128GB-8R-NGO,LOGIC,L66M,NEGRO,8RAM,128GB,352797810221072,352797810221080,"MiPlan Almacen",Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-VER",MOTOROLA,"EDGE 50 FUSION",VERDE,8RAM,256GB,354612455962716,354612455962724,"MiPlan Almacen",Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-AZ",MOTOROLA,"EDGE 50 FUSION",AZUL,8RAM,256GB,354612456093610,354612456093628,"MiPlan Almacen",Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-ROS",MOTOROLA,"EDGE 50 FUSION",ROSA,8RAM,256GB,359882252999626,,"MiPlan Almacen",Insertada,OK
TEL-MOT-G24-128GB-4R-AZ,MOTOROLA,G24,AZUL,4RAM,128GB,357674247836803,357674247933709,"MiPlan Almacen",Insertada,OK
TEL-MOT-G24-128GB-4R-AZ,MOTOROLA,G24,AZUL,4RAM,128GB,357674247823108,357674247920003,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI NOTE 14-128GB-6R-NGO",XIAOMI,"REDMI NOTE 14",NEGRO,6RAM,128GB,862378079171283,862378079171291,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI NOTE 14-128GB-6R-AZ",XIAOMI,"REDMI NOTE 14",AZUL,6RAM,128GB,862844078173729,862844078173737,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-NGO",SAMSUNG,"GALAXY A06",NEGRO,4RAM,128GB,350437738237569,350437738237567,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A16-128GB-4R-NGO",SAMSUNG,"GALAXY A16",NEGRO,4RAM,128GB,352042193846439,356542823846432,"MiPlan Almacen",Insertada,OK
"TEL-TEC-SPK 30C-256GB-8R-VER",TECNO,"SPARK 30C",VERDE,8RAM,256GB,352942302168577,352942309521786,"MiPlan Almacen",Insertada,OK
"TEL-TEC-SPK 30C-256GB-8R-BCO",TECNO,"SPARK 30C",BLANCO,8RAM,256GB,352942302159766,352942305853001,"MiPlan Almacen",Insertada,OK
"TEL-TEC-SPK 30C-256GB-8R-VER",TECNO,"SPARK 30C",VERDE,8RAM,256GB,352942302251928,352942305302074,"MiPlan Almacen",Insertada,OK
"TEL-TEC-SPK 30C-256GB-8R-VER",TECNO,"SPARK 30C",VERDE,8RAM,256GB,352942302250342,352942306028405,"MiPlan Almacen",Insertada,OK
TEL-XIA-RMI-A5-128GB-4R-NGO,XIAOMI,"REDMI A5",NEGRO,4RAM,128GB,860292078936129,860292078936137,"MiPlan Almacen",Insertada,OK
TEL-XIA-RMI-A5-128GB-4R-NGO,XIAOMI,"REDMI A5",NEGRO,4RAM,128GB,860292079011989,860292079011997,"MiPlan Almacen",Insertada,OK
TEL-XIA-RMI-A5-128GB-4R-AZ,XIAOMI,"REDMI A5",AZUL,4RAM,128GB,860292078435080,860292078435098,"MiPlan Almacen",Insertada,OK
"TEL-HON-200 LITE-256GB-8R-CIA",HONOR,"200 LITE",CIAN,8RAM,256GB,864616063523342,,"MiPlan Almacen",Insertada,OK
"TEL-HON-PLAY 9A-64GB-4R-MOR",HONOR,"PLAY 9A",MORADO,4RAM,64GB,862703070693243,862703070993247,"MiPlan Almacen",Insertada,OK
"TEL-HON-PLAY 9A-64GB-4R-MOR",HONOR,"PLAY 9A",MORADO,4RAM,64GB,862703072727850,862703071027854,"MiPlan Almacen",Insertada,OK
"TEL-HON-PLAY 9A-64GB-4R-MOR",HONOR,"PLAY 9A",MORADO,4RAM,64GB,862703070727959,862703071027953,"MiPlan Almacen",Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-NGO",HONOR,"X5B PLUS",NEGRO,4RAM,256GB,862208072806637,,"MiPlan Almacen",Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-AZ",HONOR,"X5B PLUS",AZUL,4RAM,256GB,862208072689900,862208073139905,"MiPlan Almacen",Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-AZ",HONOR,"X5B PLUS",AZUL,4RAM,256GB,862208072685049,,"MiPlan Almacen",Insertada,OK
"TEL-HON-X6A PLUS-128GB-6R-MOR",HONOR,"X6A PLUS",MORADO,6RAM,128GB,860404072711065,860404073711064,"MiPlan Almacen",Insertada,OK
TEL-HON-X7B-128GB-8R-PTA,HONOR,X7B,PLATA,8RAM,128GB,862606069406909,862606069406917,"MiPlan Almacen",Insertada,OK
TEL-HON-X8B-256GB-8R-PTA,HONOR,X8B,PLATA,8RAM,256GB,868557073828584,,"MiPlan Almacen",Insertada,OK
TEL-LOG-L66M-128GB-8R-NGO,LOGIC,L66M,NEGRO,8RAM,128GB,352797810429345,352797810429352,"MiPlan Almacen",Insertada,OK
TEL-LOG-L66M-128GB-8R-NGO,LOGIC,L66M,NEGRO,8RAM,128GB,352797810420583,352797810420591,"MiPlan Almacen",Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-VER",MOTOROLA,"EDGE 50 FUSION",VERDE,8RAM,256GB,354612455997076,354612455997084,"MiPlan Almacen",Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-ROS",MOTOROLA,"EDGE 50 FUSION",ROSA,8RAM,256GB,359882253067860,,"MiPlan Almacen",Insertada,OK
"TEL-MOT-EDGE 50 FUSION-256GB-8R-AZ",MOTOROLA,"EDGE 50 FUSION",AZUL,8RAM,256GB,359882253067779,,"MiPlan Almacen",Insertada,OK
"TEL-MOT-G35 5G-128GB-4R-VER",MOTOROLA,G35,VERDE,4RAM,128GB,356304132027901,356304134527908,"MiPlan Almacen",Insertada,OK
"TEL-MOT-G35 5G-128GB-4R-NGO",MOTOROLA,G35,NEGRO,4RAM,128GB,356304132023785,356304134523782,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI 13C-128GB-4R-NGO",XIAOMI,"REDMI 13C",NEGRO,4RAM,128GB,866215077608666,866215077608674,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI NOTE 14-128GB-6R-NGO",XIAOMI,"REDMI NOTE 14",NEGRO,6RAM,128GB,862844072744160,862844072744178,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI NOTE 14-128GB-6R-NGO",XIAOMI,"REDMI NOTE 14",NEGRO,6RAM,128GB,862844072743162,862844072743170,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-GR",SAMSUNG,"GALAXY A06",GRIS,4RAM,128GB,350437730271228,1111,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A16-128GB-4R-GR",SAMSUNG,"GALAXY A16",GRIS,4RAM,128GB,350792526849722,350989816849723,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A16-128GB-4R-GR",SAMSUNG,"GALAXY A16",GRIS,4RAM,128GB,350792526748437,350989816748438,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A16-128GB-4R-GR",SAMSUNG,"GALAXY A16",GRIS,4RAM,128GB,350792526749203,350989816749204,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A35 5G-128GB-8R-AZ",SAMSUNG,"GALAXY A35 5G",AZUL,8RAM,128GB,350524543111475,352227683111473,"MiPlan Almacen",Insertada,OK
"TEL-TEC-SPK 30C-256GB-8R-NGO",TECNO,"SPARK 30C",NEGRO,8RAM,256GB,352942302260457,352942305348259,"MiPlan Almacen",Insertada,OK
"TEL-TEC-SPK 30C-256GB-8R-BCO",TECNO,"SPARK 30C",BLANCO,8RAM,256GB,352942302137762,352942306945392,"MiPlan Almacen",Insertada,OK
TEL-MOT-G04-128GB-4R-VER,MOTOROLA,G04,VERDE,4RAM,128GB,351113354599934,,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI 13C-128GB-4R-AZ",XIAOMI,"REDMI 13C",AZUL,4RAM,128GB,861336075154506,861336075154514,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI 13C-128GB-4R-NGO",XIAOMI,"REDMI 13C",NEGRO,4RAM,128GB,861336075152583,861336075152591,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI A3-64GB-3R-NGO",XIAOMI,"REDMI A3",NEGRO,3RAM,64GB,869857076499709,869857076499717,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI A3-64GB-3R-NGO",XIAOMI,"REDMI A3",NEGRO,3RAM,64GB,869857076722662,869757076722670,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI A3-64GB-3R-VER",XIAOMI,"REDMI A3",VERDE,3RAM,64GB,869857076740029,869857076740037,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A05-64GB-4R-VER",SAMSUNG,"GALAXY A05",VERDE,4RAM,64GB,351641241012448,351847821012449,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-AZ",SAMSUNG,"GALAXY A06",AZUL,4RAM,128GB,359706684773392,,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-VER",SAMSUNG,"GALAXY A06",VERDE,4RAM,128GB,359706683248107,,"MiPlan Almacen",Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-NGO",HONOR,"X5B PLUS",NEGRO,4RAM,256GB,863736064251445,1111,"MiPlan Almacen",Insertada,OK
"TEL-MOT-G35 5G-128GB-4R-NGO",MOTOROLA,G35,NEGRO,4RAM,128GB,356304132493111,356304134993118,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI 14C-128GB-4R-AZ",XIAOMI,"REDMI 14C",AZUL,4RAM,128GB,869914074551484,869914074551492,"MiPlan Almacen",Insertada,OK
"TEL-HON-X5B PLUS-256GB-4R-NGO",HONOR,"X5B PLUS",NEGRO,4RAM,256GB,862208072814086,862208073264083,"MiPlan Almacen",Insertada,OK
TEL-MOT-G24-128GB-4R-GR,MOTOROLA,G24,GRIS,4RAM,128GB,357674247830202,357674247927107,"MiPlan Almacen",Insertada,OK
TEL-REA-C21Y-64GB-4R-AZ,REALME,C21Y,AZUL,4RAM,64GB,869569050275159,869569050275142,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI A3-64GB-3R-NGO",XIAOMI,"REDMI A3",NEGRO,3RAM,64GB,869857076690406,869857076690414,"MiPlan Almacen",Insertada,OK
"TEL-XIA-RMI 14C-128GB-4R-VER",XIAOMI,"REDMI 14C",VERDE,4RAM,128GB,869807075200962,869807075200970,"MiPlan Almacen",Insertada,OK
TEL-MOT-E14-64GB-2R-GR,MOTOROLA,E14,GRIS,2RAM,64GB,357142612254473,,"MiPlan Almacen",Insertada,OK
"TEL-MOT-G24 PW-256GB-8R-AZ",MOTOROLA,"G24 POWER",AZUL,8RAM,256GB,355913383593006,355913383768103,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A06-128GB-4R-AZ",SAMSUNG,"GALAXY A06",AZUL,4RAM,128GB,359706680179370,,"MiPlan Almacen",Insertada,OK
TEL-HON-X6A-128GB-4R-CIA,HONOR,X6A,CIAN,4RAM,128GB,358251524037543,,"MiPlan Almacen",Insertada,OK
TEL-MOT-G04-128GB-4R-NGO,MOTOROLA,G04,NEGRO,4RAM,128GB,351113353720994,,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A05-128GB-4R-VER",SAMSUNG,"GALAXY A05",VERDE,4RAM,128GB,358251524036206,,"MiPlan Almacen",Insertada,OK
"TEL-HON-PLAY 9A-64GB-4R-AZ",HONOR,"PLAY 9A",AZUL,4RAM,64GB,862703070756958,862703071056952,"MiPlan Almacen",Insertada,OK
"TEL-HON-PLAY 9A-64GB-4R-MOR",HONOR,"PLAY 9A",MORADO,4RAM,64GB,862703070722000,862703071022004,"MiPlan Almacen",Insertada,OK
TEL-MOT-G24-128GB-4R-GR,MOTOROLA,G24,GRIS,4RAM,128GB,357674248257090,,"MiPlan Almacen",Insertada,OK
TEL-XIA-RMI-A5-128GB-4R-AZ,XIAOMI,"REDMI A5",AZUL,4RAM,128GB,860292078719244,860292078719251,"MiPlan Almacen",Insertada,OK
"TEL-HON-PLAY 9A-64GB-4R-MOR",HONOR,"PLAY 9A",MORADO,4RAM,64GB,862703070723826,862703071023820,"MiPlan Almacen",Insertada,OK
"TEL-MOT-G85 5G-256GB-8R-AZ",MOTOROLA,G85,AZUL,8RAM,256GB,354289650949770,354289650949788,"MiPlan Almacen",Insertada,OK
"TEL-MOT-G35 5G-128GB-4R-VER",MOTOROLA,G35,VERDE,4RAM,128GB,356304132024148,356304134524145,"MiPlan Almacen",Insertada,OK
"TEL-SAM-GXY A25 5G-128GB-6R-AZ",SAMSUNG,"GALAXY A25 5G",AZUL,6RAM,128GB,350824195039564,352670515039562,"MiPlan Almacen",Insertada,OK
"TEL-TEC-SPK GO 1-128GB-4R-VER",TECNO,"SPARK GO 1",VERDE,4RAM,128GB,358812272145208,358812272145216,"MiPlan Almacen",Insertada,OK
"TEL-HON-PLAY 9A-64GB-4R-MOR",HONOR,"PLAY 9A",MORADO,4RAM,64GB,862703070697657,862703070997651,"MiPlan Almacen",Insertada,OK
